Store Name,Days with Data,Data Capture (%)
Angel Sq,214,88
Barnton,243,100
Chester,243,100
Chudleigh,243,100
Faircross Parade,243,100
Great Portland,243,100
Manchigh,214,88
Broughton,10,4
Leek Road Endon,1,0
Chudleigh,275,98
 Edinburgh Morrison St,12,4
Abbey Wood,2,1
Alderman Road,64,22
Archway Highgate,2,1
Ashton On Mersey M33 5PP,285,98
Astley,30,100
Barnton New,30,100
Barnton,285,98
Barrachnie,55,19
Battlefield,55,19
Bishopton BS7 8AT,285,98
Bournemouth,8,3
Braemar,56,19
Braidcraft Terrace,62,21
Brownlow Fold,146,50
Camberwell N Rd SE5 0TJ,149,51
Cambuslang,56,19
Carron Village,146,50
Carshalton SM5 3AG,285,98
Clarkston,30,100
Coppenhall Public Wifi,30,100
Coppenhall,30,100
Corporation Street,183,63
Danderhall,57,20
Didsbury M20 2DW,285,98
Disley,48,16
Halfway,64,22
Halstead Colchester Rd,7,2
Higham Ferrers NN10 8BL,285,98
Holcombe Brook,145,50
Hoole,30,100
Ibrox Public Wifi,285,98
Ibrox,63,22
Kelsall New,43,15
Kilearn,147,51
Kingco,56,19
Kingsway,20,7
Kirkcaldy,4,1
Lennoxtown New,146,50
Littleborough,47,16
Lymm WA13 0NU,285,98
Macclesfield,30,100
Maple Road,30,100
Marsden,30,100
Mobberley,30,100
Moodiesburn,146,50
Muirhead,55,19
Musselburgh,57,20
Newarthill,147,51
North Ferriby HU14 3JP,290,100
Old Baising,26,9
Shawlands,30,100
Silloth CA7 4BY,285,98
Stornoway SM,30,100
Stornoway WS,30,100
Talke High Street,167,57
The Bridges Latchford,49,17
The Gables,48,16
Thurston Road,63,22
Tollcross,56,19
Walker Street,42,14
Wallacewell Road,55,19
Warwick Bridge CA4 8SA,285,98
Weaverham,43,15
Wimbledon SW19 8AE,285,98
Woodlands,17,6
